Year,Country,hf_score,hf_quartile,pf_rol,pf_ss,pf_movement,pf_religion,pf_expression,pf_identity,pf_score,ef_government,ef_legal,ef_money,ef_trade,ef_regulation,ef_score
2017,Albania,7.84,1,5.3,9.3,10,9.2,8.6,5.8,8.01,7.5,5.1,9.6,8.3,7.8,7.67
2017,Algeria,4.99,4,3.8,7.8,5.8,4.9,7.3,0,5.2,3.6,4.7,7.3,2.8,5.4,4.77
2017,Angola,5.4,4,3.4,8.1,6.7,8.8,6.5,5,5.98,6.8,3,5.6,3.2,5.7,4.83
2017,Argentina,6.86,2,5.7,8.8,10,7.8,8.7,10,8.04,5.7,4,6.5,6.5,5.6,5.67
2017,Armenia,7.42,2,4.9,9.1,8.3,6.2,7.2,8.2,7.15,7.4,5.9,9.5,8.2,7.5,7.7
2017,Australia,8.62,1,7.8,9.9,10,9.1,9.4,9,9.16,7,7.9,9.5,7.6,8.5,8.07
2017,Austria,8.48,1,8.2,9.9,10,7.9,9.3,10,9.25,5.7,7.9,9.4,8.1,7.5,7.71
2017,Azerbaijan,6.22,3,4.3,9.5,8.3,5.5,4,5.8,6.1,4.8,5.5,6.8,7.3,7.2,6.34
2017,Bahamas,7.56,2,6.4,6.7,10,7.9,8.9,10,7.87,8.1,6.5,6.9,6.5,8.2,7.25
2017,Bahrain,6.63,3,5.9,7.4,4.2,7.5,4.1,5,5.91,7,5.2,9.4,7.4,7.8,7.35
2017,Bangladesh,5.77,4,3.1,7,6.7,5.9,7,1.7,5.37,8.2,3.1,7,6,6.7,6.18
2017,Barbados,7.02,2,6.7,8.6,7.5,8.5,9.1,5,7.59,6.3,5.9,6.2,7,7,6.45
2017,Belarus,6.65,3,5.1,9.2,8.3,5.2,5.8,9,6.66,6.1,5.3,7.4,6.8,7.5,6.64
2017,Belgium,8.29,1,7.8,9.8,10,8.1,9.8,9,9.07,4.9,7.1,9.5,8.2,8,7.51
2017,Belize,6.95,2,4.3,6.7,7.5,9.1,8.5,10,7.12,6.9,5.2,7.2,6.5,8.1,6.78
2017,Benin,6.77,3,4.2,8.7,5.8,9.4,9,8.8,7.47,7.1,4.2,6.7,6.1,6.4,6.08
2017,Bhutan,6.53,3,6.2,9.6,3.3,7.3,7.3,0.8,6.29,6.9,6.4,6.8,6.3,7.5,6.77
2017,Bolivia,6.61,3,3.1,8.6,8.3,8.4,8.4,10,7.07,5.9,3.5,9.3,7,4.9,6.14
2017,Bosnia and Herzegovina,7.37,2,5.5,9.1,8.3,8.5,8.7,9,8.04,5.6,4.2,8.3,7.8,7.5,6.69
2017,Botswana,7.17,2,5.6,7.6,7.5,9,7.8,5,6.97,6.4,5.9,9.3,7.4,7.9,7.37
2017,Brazil,6.48,3,4.7,6.7,10,7.4,8.5,6.7,6.74,5.7,4.5,9.4,7.1,4.4,6.23
2017,Brunei Darussalam,5.69,4,6.2,8.3,4.2,0,4.6,1.7,4.76,3.3,5.3,8.8,7.2,8.5,6.62
2017,Bulgaria,7.79,1,4.9,9.8,10,7.1,8.8,8.2,8.04,7.1,5.3,9.4,8.1,7.7,7.54
2017,Burkina Faso,6.73,3,4.9,7.9,10,8,7.7,8.8,7.39,5.7,4.3,7,6.5,6.9,6.07
2017,Burundi,5.56,4,2.9,7.8,6.7,7.5,3.2,3.8,4.95,6.9,3.5,8.2,5.9,6.3,6.17
2017,C?te d'Ivoire,6.59,3,4,7.1,6.7,9.4,8.7,10,7.2,5.9,4.2,7.1,5.9,6.7,5.97
2017,Cambodia,7.13,2,2.6,8.8,7.5,8.3,7.7,8.8,6.82,9.1,4.4,9.3,7.3,7,7.44
2017,Cameroon,5.64,4,3,8.1,2.5,7.9,6.8,3.8,5.43,6.9,3.2,7.3,5.2,6.6,5.84
2017,Canada,8.65,1,7.7,9.7,10,9,9.5,10,9.22,6.5,7.8,9.6,7.9,8.6,8.08
2017,Cape Verde,7.45,2,5.8,8.5,10,8.1,8.9,6.3,7.74,7.2,6,8.3,7.2,7.1,7.16
2017,Central Afr. Rep.,5.41,4,2.4,4.5,5,8.3,8,8.8,5.59,6.5,2.7,6.7,4.7,5.5,5.23
2017,Chad,5.46,4,3.1,6.3,6.7,8.2,7.5,2.5,5.49,7.4,2.7,6.8,5.2,5,5.42
2017,Chile,8.15,1,6.5,9.4,10,9.3,9.2,5.8,8.41,8.2,6.4,9.5,8.3,7,7.89
2017,China,6.17,4,4.7,9.3,5,3.7,5.2,9,5.92,4.7,5.6,8.5,6.8,6.5,6.42
2017,Colombia,6.93,2,4.4,5.4,10,8.7,8.4,10,7.18,7.2,3.9,8.2,6.7,7.3,6.68
2017,"Congo, Dem. R.",5.36,4,2.5,6.3,6.7,8.5,6.9,6.3,5.73,6.9,3.1,4.4,5.6,5,5
2017,"Congo, Rep. Of",5.8,4,3.4,7.7,4.2,9.4,6.7,8.8,6.52,5.6,3.1,5.7,5.4,5.6,5.08
2017,Costa Rica,7.7,2,6.6,7.5,10,8.1,9.6,7.3,7.99,7,5.8,9.8,8,6.5,7.41
2017,Croatia,7.86,1,5.7,9.9,10,8.1,8.6,10,8.45,5.7,5.6,9.6,8.2,7.3,7.26
2017,Cyprus,7.93,1,6.6,9.8,7.5,7.2,9.5,8.3,8.18,6.9,6.1,9.4,8.3,7.7,7.68
2017,Czech Rep.,8.34,1,7.8,9.9,10,7.8,9.5,8.2,8.92,6.7,6.4,9.3,8.2,8.2,7.75
2017,Denmark,8.56,1,8.7,9.8,10,7.7,8.9,10,9.24,4.7,8.1,9.8,8.5,8.4,7.89
2017,Dominican Rep.,6.95,2,4.4,8.3,8.3,8.5,8,5.8,6.98,6.4,4.1,9.5,7.9,6.6,6.92
2017,Ecuador,6.82,2,4.3,8.6,10,7.8,7.9,9.2,7.36,6.5,4,8.3,6.5,6,6.28
2017,Egypt,4.5,4,3.6,5,4.2,3.7,6.5,0,3.95,4.9,4,5.8,5.8,4.8,5.05
2017,El Salvador,6.89,2,4.4,5.8,8.3,9.1,8.9,6.7,6.62,8.4,3.6,9.9,7.6,6.3,7.16
2017,Estonia,8.46,1,7.8,9.7,10,8.3,9.6,9,9.02,6.2,7.4,9.3,8.4,8.2,7.89
2017,Eswatini,6.4,3,4.7,7.3,7.5,8,6,4.8,6.29,5.3,4.9,7.7,7,7.7,6.52
2017,Ethiopia,5.25,4,3.3,6.6,6.7,5.6,5.4,3.8,4.77,5.6,4.7,6.5,5.1,6.7,5.72
2017,Fiji,7.17,2,4.8,9.3,5.8,9.2,7.7,10,7.61,6,5.3,7,6.4,8.9,6.74
2017,Finland,8.53,1,8.6,9.8,10,7.9,9.7,9,9.27,4.7,8.8,9.4,8.2,7.9,7.8
2017,France,8.02,1,6.8,9.4,10,7.3,9.3,10,8.69,4.8,7,9.5,8.2,7.3,7.35
2017,Gabon,5.99,4,4.1,8.2,2.5,8.9,6.2,8.8,6.1,6.3,4.2,6.1,5.9,6.8,5.88
2017,"Gambia, The",5.94,4,4.5,5.5,4.2,7.6,5.4,0,4.64,7.2,5.4,9.2,7.2,7.1,7.23
2017,Georgia,7.74,1,5.4,9.1,6.7,7.2,8.6,8.2,7.53,7.6,6.3,8.9,8.7,8.1,7.94
2017,Germany,8.53,1,8.3,9.9,10,7.7,9.4,10,9.25,6.2,7.4,9.5,8,8,7.82
2017,Ghana,6.94,2,5.7,8.2,10,8.1,8.8,3.8,7.3,8,5.2,5.9,6.6,7.2,6.58
2017,Greece,7.33,2,5.8,8.7,10,7.3,8.7,8.3,8.07,4.4,5.7,8,7.7,7.2,6.59
2017,Guatemala,7.07,2,4,5.9,10,8.5,8.2,6.7,6.56,9.4,4.3,9.5,8,6.5,7.57
2017,Guinea,5.61,4,3.2,5.8,6.7,8.5,6.9,0,5.37,5.4,3.2,7.8,5.9,6.9,5.86
2017,Guinea-Bissau,6.07,4,2.9,7.5,10,9.9,7.1,7.5,6.9,5,2.9,6.3,6.2,5.8,5.23
2017,Guyana,6.74,3,4.7,7.9,7.5,9.2,8.1,7.5,7.16,5.7,4.8,8.4,6.3,6.4,6.32
2017,Haiti,6.71,3,3.4,8,7.5,8.4,8.2,6.7,6.93,8.5,2.5,7.1,7.5,6.9,6.49
2017,Honduras,6.81,3,3.2,6.5,10,8.7,6.5,6.7,6.47,8.8,3.7,9.1,7.2,6.9,7.16
2017,Hong Kong,8.81,1,7.1,10,10,8.6,8.7,9,8.7,8.2,7.9,9.6,9.3,9.4,8.91
2017,Hungary,7.65,2,5.4,8.7,10,7.3,8.8,10,8.04,5.4,6,9.7,8,7.3,7.27
2017,Iceland,8.41,1,7.8,9.9,10,8.1,9.6,9,9.08,5.8,8.4,9.5,7.3,7.7,7.74
2017,India,6.64,3,4.3,8,6.7,5.5,8,5.7,6.37,8.2,5.2,8.4,6.1,6.7,6.91
2017,Indonesia,6.83,2,4.1,8.1,7.5,3.9,7.5,7.5,6.38,8.3,4.9,9.7,6.9,6.5,7.27
2017,Iran,5.1,4,4.4,7.1,0,4.3,5.4,2.3,4.48,5.5,4.6,8,4.9,5.6,5.72
2017,Iraq,4.34,4,2.6,3.6,4.2,5.3,5.4,0,3.47,5,2.8,7.1,5.5,5.5,5.21
2017,Ireland,8.52,1,7.5,9.7,10,9.1,9.5,10,8.9,6.7,7.5,9.5,8.6,8.4,8.13
2017,Israel,7.61,2,6.8,9,6.7,5.9,8.5,6.3,7.7,6.5,6.2,9.4,8.2,7.4,7.53
2017,Italy,8.04,1,6.5,9.9,10,8,9.1,9,8.67,6.1,5.8,9.4,8.2,7.5,7.41
2017,Jamaica,7.2,2,5.4,6.5,10,9.3,9.5,4.2,7.23,7.5,5.1,8.5,6.8,8,7.17
2017,Japan,8.28,1,7.6,10,10,8.1,9.2,8.2,8.7,5.7,7.6,9.5,8.2,8.3,7.86
2017,Jordan,6.84,2,5.8,8,5,6.3,6.6,5,6.23,7.6,4.8,9.5,7.5,7.8,7.44
2017,Kazakhstan,6.9,2,4.5,9,8.3,5.5,6.2,9,6.69,7,5.3,8.9,6.6,7.7,7.1
2017,Kenya,6.85,2,4,6.9,10,7.2,8.3,6.7,6.65,7.4,5.2,9.2,6.7,6.7,7.05
2017,"Korea, South",8.2,1,7.4,9.8,8.3,9.4,9,9,8.81,7,6.5,9.6,7.6,7.3,7.59
2017,Kuwait,6.19,4,5.3,7.9,6.7,4.6,7.5,3.8,5.97,5.2,5,8.4,6.8,6.7,6.41
2017,Kyrgyz Republic,6.98,2,3.8,8.5,8.3,7.1,6.2,10,7.05,7,4.3,9.3,7.4,6.7,6.92
2017,Laos,6.2,4,3.8,8.5,5,6.7,5.8,8.8,5.74,6.3,5.6,7.4,7.5,6.5,6.67
2017,Latvia,8.29,1,6.7,9.6,10,8.5,9.4,10,8.85,6.8,6.3,9.3,8.4,7.9,7.73
2017,Lebanon,6.74,3,4.3,7,10,7.2,8.3,2.5,6.52,8.4,3.8,9.6,6.8,6.4,6.97
2017,Lesotho,6.54,3,4.7,5.7,10,9.2,7.5,5,6.57,5.6,5.4,7.7,6.4,7.4,6.5
2017,Liberia,6.35,3,3.8,7.7,8.3,9.2,7.2,1.3,6.13,7.2,4.2,9,6.2,6.2,6.56
2017,Libya,4.64,4,2.3,6.9,5.8,6.9,6.3,3.8,4.83,3.7,3.6,6.5,2.3,6.2,4.45
2017,Lithuania,8.32,1,6.8,9.4,10,8.5,9.5,9.2,8.76,7.4,6.6,9.2,8.2,8,7.88
2017,Luxembourg,8.56,1,8,10,10,9.1,9.7,9,9.26,5.4,8.3,9.4,8.3,7.9,7.86
2017,Madagascar,6.32,3,3.6,8.4,7.5,7.5,8.3,6.3,6.51,7.6,3,7.6,6.7,5.8,6.14
2017,Malawi,6.6,3,4.9,8.8,7.5,8.5,7.8,5.8,7.13,5.9,4.7,7,6.6,6,6.06
2017,Malaysia,6.52,3,5.4,8.5,5,3.9,6.8,2.3,5.7,6.4,5.6,8.2,7.8,8.7,7.34
2017,Mali,6.03,4,3.9,4.1,10,8.6,7.9,7.5,6.15,5.7,3.5,7.3,6.9,6.2,5.91
2017,Malta,8.37,1,7,9.8,10,8.4,8,9.2,8.77,7.1,6.5,9.5,8.4,8.3,7.97
2017,Mauritania,5.47,4,4.2,5.6,6.7,5.7,6,0,4.83,5.9,3.7,8,6,6.9,6.11
2017,Mauritius,7.52,2,6.3,8.9,4.2,8,9.4,1.3,6.98,8,6.9,9.4,8.5,7.5,8.07
2017,Mexico,6.65,3,3.9,5.4,10,7.6,7.7,6.7,6.38,7.9,4.2,7.9,7.6,7,6.93
2017,Moldova,6.93,2,4.5,9.2,8.3,6,7.4,10,7.2,6.4,4.3,8.1,7.5,6.9,6.66
2017,Mongolia,7.61,2,5.3,9.2,8.3,8.6,8.2,8.2,7.79,7.9,5.8,9.1,6.7,7.6,7.43
2017,Montenegro,7.43,2,5.2,9.1,10,8.9,7.7,9,8.03,5.9,4.9,8.1,8.2,7,6.84
2017,Morocco,6.18,4,4.2,7.7,9.2,4.4,7.1,1.3,5.68,6.2,5.6,7.3,7.1,7.3,6.69
2017,Mozambique,6.24,3,3.6,8.8,10,7.9,7.6,10,6.89,5.4,4.1,6.9,6.5,5,5.6
2017,Myanmar,5.44,4,3,8.3,0.8,6.3,7.7,2.5,5.26,6.8,3.6,6.7,5.2,5.9,5.63
2017,Namibia,6.75,3,5.6,7.1,7.5,8.7,8.3,6.5,6.97,5.7,6.4,6.5,6.5,7.7,6.53
2017,Nepal,6.51,3,4.3,9.1,8.3,5.2,6.7,6.7,6.53,7.2,4.5,6.8,6.6,7.2,6.49
2017,Netherlands,8.5,1,8.5,9.9,10,8.9,9.7,8.2,9.28,4.3,8.1,9.4,8.7,8.1,7.72
2017,New Zealand,8.88,1,7.9,9.9,10,9.7,9.5,9,9.27,6.6,8.6,9.5,8.6,9.1,8.5
2017,Nicaragua,6.86,2,3.8,8.9,10,7.9,7,6.7,6.72,6.6,4.4,9.1,7.8,7,7.01
2017,Niger,5.87,4,4.1,6.8,8.3,7.8,5.3,5,5.92,6.2,3.7,7.1,5.6,6.5,5.83
2017,Nigeria,6.38,3,4.3,6.1,5.8,7.3,8.2,2.5,5.9,8.6,3.3,8.6,6.1,7.8,6.86
2017,North Macedonia,7.34,2,5,9.1,8.3,8.3,7.8,9,7.66,6.7,4.3,8.1,7.9,8,7.02
2017,Norway,8.44,1,8.6,9.9,10,7.4,9.8,9.2,9.26,4.9,8.5,9.6,7.6,7.6,7.62
2017,Oman,5.98,4,5.9,8.1,4.2,5,5.3,0,5.2,4.4,6.2,8.7,7.7,6.8,6.76
2017,Pakistan,5.69,4,3.5,6.3,4.2,4,7.2,5.8,5.47,7,3.6,6.7,5.8,6.4,5.91
2017,Panama,7.69,2,4.4,8.7,10,8.4,8.7,9,7.72,7.9,5.2,9.7,8.7,6.9,7.66
2017,Pap. New Guinea,6.6,3,3.9,7.7,10,8.1,8.6,5,6.84,6.1,4.2,6.5,7.3,7.7,6.36
2017,Paraguay,6.9,2,4.1,7.6,10,8.2,7.7,5,6.78,8.3,3.9,9.4,7.3,6.2,7.03
2017,Peru,7.55,2,4.7,8.4,10,8.2,8.7,7.5,7.61,7.5,4.7,9.7,8.2,7.2,7.49
2017,Philippines,6.88,2,3.4,6.7,7.5,8.5,8.5,6.7,6.44,8.3,4.2,9.5,7.2,7.4,7.32
2017,Poland,7.78,1,6.4,9.7,10,6.3,8.6,9,8.32,5.6,5.8,9.7,7.9,7.2,7.24
2017,Portugal,8.27,1,7.2,9.9,10,9.4,9.6,9,9.02,6.2,6.8,9.4,8.3,6.8,7.52
2017,Qatar,6.15,4,6.3,8.3,1.7,4.7,7,0,5.24,5.7,6.1,8.5,7.5,7.5,7.07
2017,Romania,8.11,1,6.3,9.8,10,7.9,9,8.2,8.54,7,6.1,9.4,8.4,7.5,7.68
2017,Russia,6.34,3,4,7.7,5,4.6,6.1,9,5.9,6.3,4.8,9.3,6.8,6.6,6.78
2017,Rwanda,6.82,3,5.4,8.6,8.3,6,6.3,6.3,6.38,5.2,6.9,9.2,7.1,7.8,7.26
2017,Saudi Arabia,5.42,4,5.3,7.6,0,3.2,5.6,0,4.32,5.2,5.3,9,6.3,6.8,6.52
2017,Senegal,6.57,3,4.7,7.5,8.3,9,8.3,3.8,6.97,7,4.3,7.2,6.7,5.6,6.17
2017,Serbia,7.3,2,4.4,9.3,10,8.3,8.5,8.2,7.71,6.4,5,8.2,7.6,7.2,6.89
2017,Seychelles,7.16,2,5.3,8.3,4.2,8.1,7.7,10,7.16,6.3,5.8,9.1,7.3,7.4,7.16
2017,Sierra Leone,5.99,4,3.9,7.3,8.3,8.5,7.3,3.8,6.27,6.9,3.9,6.5,6.4,4.7,5.71
2017,Singapore,8.11,1,7.7,9.6,8.3,6.1,6.6,7.3,7.5,7.2,8.2,9.9,9.3,9,8.71
2017,Slovak Rep.,8.02,1,6.1,9.6,10,7.7,9.3,9,8.54,6.5,5.7,9.5,8.3,7.6,7.51
2017,Slovenia,7.97,1,6.5,9.7,10,9,9.4,9,8.78,5.3,6.2,9.4,7.9,7,7.15
2017,South Africa,7.08,2,5.7,5.9,10,9.4,8.9,8.2,7.55,5.8,5,8.2,6.9,7.2,6.61
2017,Spain,8.12,1,7,9.4,10,8,9.2,9,8.69,6.1,6.8,9.4,8.1,7.5,7.55
2017,Sri Lanka,6.41,3,4.5,7.4,10,6.9,7.2,3.2,6.25,7.6,4.9,7.6,5.8,6.9,6.57
2017,Sudan,4.32,4,3.4,4.9,3.3,6.5,5.7,0,3.97,7.6,3,4.4,2.3,6,4.67
2017,Suriname,7.48,2,4.9,9.3,10,9.5,8.5,10,8.3,6.4,4.7,7.2,7.2,7.7,6.65
2017,Sweden,8.5,1,8.5,9.8,10,8.9,9.7,10,9.45,4.5,7.7,9.3,8.2,8,7.56
2017,Switzerland,8.82,1,8.3,9.9,10,8.2,9.7,9,9.24,7.6,8.4,9.9,7.6,8.5,8.4
2017,Syria,3.79,4,1.8,4.7,0.8,4.4,1.9,0,2.53,5.7,3.2,5.9,5,5.4,5.05
2017,Taiwan,8.4,1,7,9.3,10,9.4,9.3,10,8.94,7.4,6.8,9.8,7.7,7.6,7.85
2017,Tajikistan,5.77,4,3,8.9,8.3,4.4,4.3,6.3,5.49,5.1,5,7.5,5.9,6.6,6.05
2017,Tanzania,6.26,3,4.2,6.8,8.3,6.4,7.5,2.5,5.75,6.7,5.7,8.3,6.2,7,6.77
2017,Thailand,6.55,3,4.3,8.8,5,7.3,7.1,5.8,6.25,6.8,4.7,8.6,7.2,7,6.86
2017,Timor-Leste,6.76,3,3.3,8.9,10,8.6,8.4,8.8,7.52,4.5,3.3,8.1,7.8,6.3,5.99
2017,Togo,6.31,3,4,8.1,5.8,8.9,8.5,2.5,6.41,6.5,5.2,7,5.7,6.6,6.21
2017,Trinidad and Tobago,6.62,3,4.7,6.5,7.5,8.6,8.7,5,6.54,5.4,4.6,9.1,7.8,6.6,6.7
2017,Tunisia,6.08,4,4.8,7.6,5,6.5,8.1,1.3,5.97,5.6,5.3,6.9,6.8,6.4,6.2
2017,Turkey,6.21,3,4,7.7,6.7,4.5,4.4,8.2,5.74,6.6,4.6,8.8,7.3,6,6.67
2017,Uganda,6.61,3,3.4,7.4,7.5,8.4,7.6,0.8,5.82,7.5,4.7,9.4,7.6,7.8,7.39
2017,Ukraine,6.26,3,4.5,7.9,6.7,5.9,7.4,9,6.56,7.2,4.4,5,6.8,6.4,5.96
2017,United Arab Emirates,6.13,4,6.4,7.7,4.2,4.7,6.3,0,5.09,5.8,5.7,9.1,8,7.2,7.17
2017,United Kingdom,8.47,1,7.7,9.3,10,7.6,9.3,9,8.85,6.2,7.8,9.7,8.4,8.4,8.09
2017,United States,8.46,1,6.9,9.1,10,8.9,9.3,9,8.72,7.2,7.4,9.8,7.7,8.9,8.19
2017,Uruguay,7.74,2,6.6,8.9,10,8.5,9.4,10,8.42,6.3,5.2,9,7.9,6.8,7.05
2017,Venezuela,3.8,4,2.1,6.3,6.7,6.9,5.1,4.2,5.03,4.6,2,0.7,3.2,2.5,2.58
